bus_10001,bus_10022,bus_10025,bus_10033,bus_10035,bus_10093,bus_10228,bus_10525,bus_10558,bus_10570,bus_10600,bus_10677,bus_10750,bus_11016,bus_13000,bus_13366,bus_13420,bus_13446,bus_13504,bus_20000,bus_20007,bus_20026,bus_20136,bus_21121,bus_21647,bus_23017,bus_23054,bus_23060,bus_23263,bus_23377,bus_25160,bus_25289,bus_25375,bus_25403,bus_25439,bus_25598,bus_25618,bus_25675,bus_25714,bus_25830,bus_26100,bus_26133,bus_28078,bus_28099,bus_28122,bus_28365,bus_28549,bus_28667,bus_30001,bus_30144,bus_30146,bus_30205,bus_30207,bus_30220,bus_30221,bus_30374,bus_40001,bus_40003,bus_40004,bus_40006,bus_40007,bus_40008,bus_40050,bus_40160,bus_40162,bus_40279,bus_40281,bus_40367,bus_40369,bus_40595,bus_40602,bus_40691,bus_40787,bus_40844,bus_40961,bus_40994,bus_50000,bus_50007,bus_50024,bus_50196,bus_50316,bus_53000,bus_53002,bus_53012,bus_60000,bus_60003,bus_60194,bus_60577,bus_70000,bus_70016,bus_70063,bus_70155,bus_74001,bus_74053,bus_74104,bus_74132,bus_74235,bus_77001,bus_77173,bus_80007
0.0,0.0,0.0,59.7229,0.0,528.0036,286.1407,0.0,0.0,1.0731,0.0,39.0426,822.6269,1141.5859,24.553800000000003,91.7963,0.0,175.2057,1312.0276,0.0,16.7267,116.61719999999998,378.92820000000006,0.0,0.0,0.0,57.715500000000006,186.9854,0.0,0.0,0.0,0.6285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6048,0.0,0.0,0.0,0.0,124.9029,0.0,0.0,0.0,0.0,0.0,23.6588,0.0,50.5944,0.0,0.0,0.0,0.0,0.0,0.8131,0.0,0.0,0.0,0.0,197.5527,0.0,0.0,0.0,0.0,4.5083,0.0,13.002999999999998,10.328000000000001,0.0,0.0,0.0,3.4439,25.4097,0.6422,0.0,8.757,0.0,10.540000000000001,0.0,10.4667,19.2957,10.9845,42.852199999999996,289.1994,24.3971,0.0,0.0
0.0,0.0,0.0,50.5317,0.0,489.0865,282.1109,0.0,0.0,0.9695,0.0,38.297700000000006,817.6165,1473.1692,20.609099999999998,130.676,0.0,185.9022,1329.0413,0.0,15.1297,143.8597,575.0901000000001,0.0,0.0,0.0,80.396,247.87390000000002,0.0,0.0,0.0,0.6034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0552,0.0,0.0,0.0,0.0,128.3665,0.0,0.0,0.0,0.0,0.0,23.3863,0.0,54.6763,0.0,0.0,0.0,0.0,0.0,0.706,0.0,0.0,0.0,0.0,200.1481,0.0,0.0,0.0,0.0,5.0305,0.0,14.425800000000002,9.8351,0.0,0.0,0.0,4.0808,25.3609,0.8754,0.0,8.9109,0.0,11.8868,0.0,11.5948,19.0487,11.9799,41.5617,281.5496,24.1928,0.0,0.064
0.0,0.0,0.0,38.9314,0.0,488.84740000000005,283.3908,0.0,0.0,0.9028,0.0,36.95139999999999,800.4583,1438.7637,15.9519,126.89040000000001,0.0,204.74079999999998,1292.1254000000001,0.0,10.7336,148.42350000000002,680.0831000000002,0.0,0.0,0.0,105.3197,284.14369999999997,0.0,0.0,0.0,1.1882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.561399999999999,0.0,0.0,0.0,0.0,132.6962,0.0,0.0,0.0,0.0,0.0,23.3494,0.0,53.0217,0.0,0.0,0.0,0.0,0.0,0.6165,0.0,0.0,0.0,0.0,201.2003,0.0,0.0,0.0,0.0,5.5414,0.0,16.0518,9.575700000000001,0.0,0.0,0.0,4.5503,25.877200000000006,1.0603,0.0,9.2066,0.0,11.5607,0.0,13.2417,18.4957,13.2919,42.6678,271.6299,24.092899999999997,0.0,0.2786
0.0,0.0,0.0,29.6872,0.0,456.63779999999997,283.5356,0.0,0.0,0.8782,0.0,34.4831,775.9862,1407.9786,14.613700000000001,121.12469999999999,0.0,220.12139999999997,1264.5731,0.0,9.926,224.89829999999998,652.3997999999999,0.0,0.0,0.0,81.2528,316.97729999999996,0.0,0.0,0.0,1.3164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6849,0.0,0.0,0.0,0.0,137.8744,0.0,0.0,0.0,0.0,0.0,23.3762,0.0,52.5707,0.0,0.0,0.0,0.0,0.0,0.5517,0.0,0.0,0.0,0.0,200.6276,0.0,0.0,0.0,0.0,5.7836,0.0,16.2331,9.4322,0.0,0.0,0.0,4.694599999999999,26.687200000000004,1.1501,0.0,9.5442,0.0,11.7201,0.0,14.280899999999999,17.593,13.706,41.25000000000001,259.2032,24.0606,0.0,0.5054
0.0,0.0,0.0,46.531,0.0,520.0118000000001,290.63190000000003,0.0,0.0,0.9475,0.0,43.28609999999999,723.2564,1363.7952,32.845200000000006,132.8609,0.0,237.4358,1261.3546999999999,0.0,21.587699999999998,225.00480000000002,591.3726000000001,0.0,0.0,0.0,70.0041,291.1719,0.0,0.0,0.0,1.2859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2177,0.0,0.0,0.0,0.0,143.8523,0.0,0.0,0.0,0.0,0.0,23.4387,0.0,53.1355,0.0,0.0,0.0,0.0,0.0,0.518,0.0,0.0,0.0,0.0,198.4475,0.0,0.0,0.0,0.0,6.142,0.0,16.7804,9.3687,0.0,0.0,0.0,4.5963,27.959799999999998,1.1822,0.0,10.0876,0.0,11.86,0.0,15.7435,16.906200000000002,14.284799999999999,40.4213,248.67700000000002,24.0838,0.0,0.7405
0.0,0.0,0.0,40.045,0.0,488.41049999999996,286.3355,0.0,0.0,1.041,0.0,41.8386,709.6083,1325.905,33.384,147.1303,0.0,274.5798,1248.087,0.0,21.092,157.48119999999997,742.1533000000001,0.0,0.0,0.0,98.5547,332.364,0.0,0.0,0.0,1.4819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0835,0.0,0.0,0.0,0.0,150.54919999999998,0.0,0.0,0.0,0.0,0.0,23.4487,0.0,53.8665,0.0,0.0,0.0,0.0,0.0,0.5209,0.0,0.0,0.0,0.0,194.7752,0.0,0.0,0.0,0.0,7.6782,0.0,18.3312,9.2531,0.0,0.0,0.0,3.7535000000000003,28.662700000000005,1.1225999999999998,0.0,10.8536,0.0,11.877600000000001,0.0,20.1096,16.3215,16.4748,43.1285,240.1538,24.162700000000005,0.0,0.9808
0.0,0.0,0.0,28.0291,0.0,459.36060000000003,237.089,0.0,0.0,1.0753,0.0,35.4611,673.3779000000001,1286.6099,23.1072,141.07479999999998,0.0,342.3627,1273.9465,0.0,14.5297,227.2353,731.9232999999998,0.0,0.0,0.0,85.20779999999999,248.29840000000004,0.0,0.0,0.0,1.5081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.137,0.0,0.0,0.0,0.0,157.8528,0.0,0.0,0.0,0.0,0.0,23.458,0.0,53.362,0.0,0.0,0.0,0.0,0.0,0.5638,0.0,0.0,0.0,0.0,189.8174,0.0,0.0,0.0,0.0,8.7538,0.0,19.985599999999998,9.141399999999999,0.0,0.0,0.0,4.2859,27.229800000000004,1.0015,0.0,11.7495,0.0,9.9681,0.0,23.0609,15.7268,17.9347,41.8391,230.0793,24.304399999999998,0.0,1.2239
0.0,0.0,0.0,34.8953,0.0,487.24659999999994,228.0971,0.0,0.0,1.2821,0.0,55.4371,659.7046,1249.7174,28.125999999999998,138.24880000000002,0.0,388.16059999999993,1312.1636,0.0,17.5014,229.32419999999996,917.1406000000001,0.0,0.0,0.0,100.69479999999999,293.7518,0.0,0.0,0.0,1.7145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.178799999999999,0.0,0.0,0.0,0.0,165.6221,0.0,0.0,0.0,0.0,0.0,23.524,0.0,53.8459,0.0,0.0,0.0,0.0,0.0,0.6486,0.0,0.0,0.0,0.0,183.8602,0.0,0.0,0.0,0.0,8.6453,0.0,21.207,9.0556,0.0,0.0,0.0,4.58,21.922399999999996,0.8887,0.0,12.9533,0.0,9.370000000000001,0.0,24.3454,15.4217,17.9723,47.907300000000006,231.57319999999999,24.518600000000003,0.0,1.4678
0.0,0.0,0.0,38.1402,0.0,515.9726,232.17220000000003,0.0,0.0,1.7796,0.0,64.0261,671.1858,1248.0131999999999,20.7163,137.2709,0.0,444.0191,1367.7325,0.0,13.5612,229.65289999999996,988.6442,0.0,0.0,0.0,89.31790000000001,263.6327,0.0,0.0,0.0,2.0471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3772,0.0,0.0,0.0,0.0,173.6913,0.0,0.0,0.0,0.0,0.0,23.5246,0.0,53.3842,0.0,0.0,0.0,0.0,0.0,0.7754,0.0,0.0,0.0,0.0,177.2529,0.0,0.0,0.0,0.0,9.6587,0.0,23.6375,9.0314,0.0,0.0,0.0,4.6273,21.6584,1.0185,0.0,14.451699999999999,0.0,9.8709,0.0,30.481399999999997,17.1601,19.429299999999998,46.9476,247.75240000000002,24.8156,0.0,1.7113
0.0,0.0,0.0,30.5358,0.0,537.4027000000001,217.0712,0.0,0.0,2.1489,0.0,68.55789999999999,712.9623,1279.3366,19.944000000000003,134.85130000000004,0.0,502.51969999999994,1495.038,0.0,12.473099999999999,230.58459999999997,970.4362000000001,0.0,0.0,0.0,92.26610000000001,229.8841,0.0,0.0,0.0,2.6824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3995,0.0,0.0,0.0,0.0,181.8754,0.0,0.0,0.0,0.0,0.0,23.464,0.0,53.058,0.0,0.0,0.0,0.0,0.0,0.9429,0.0,0.0,0.0,0.0,170.3871,0.0,0.0,0.0,0.0,10.2782,0.0,27.088700000000003,9.219800000000001,0.0,0.0,0.0,4.2602,21.864600000000003,0.9093,0.0,16.5674,0.0,13.7779,0.0,33.8175,20.763199999999998,20.3701,52.74720000000001,285.92830000000004,25.204600000000003,0.0,1.9537
