Number,Name,lat,lon
10001,NEAH BAY 1,48.2414,-124.5778
10002,FORKS 1,47.6956,-124.1836
10003,OCEAN SHORES 1,47.04,-124.057
10004,WESTPORT 1,46.9275,-124.1719
10005,WESTPORT 2,46.9275,-124.1719
10006,LONG BEACH 1 1,46.3165,-124.0612
10007,LONG BEACH 1 2,46.3165,-124.0612
10008,OCEAN PARK 1,46.4983,-123.9825
10009,OCEAN PARK 2,46.4983,-123.9825
10010,HOQUIAM 1,47.1743,-123.8474
10011,PORT ANGELES 1 1,48.0025,-123.762
10012,ABERDEEN 1 1,47.165,-123.6639
10013,ABERDEEN 1 2,47.165,-123.6639
10014,MONTESANO 1,47.1889,-123.686
10015,MONTESANO 2,47.1889,-123.686
10016,RAYMOND 1,46.656,-123.6148
10017,RAYMOND 2,46.656,-123.6148
10018,ELMA 1 1,47.0719,-123.2943
10019,PORT ANGELES 2 1,47.988,-123.332
10020,PORT ANGELES 2 2,47.988,-123.332
10021,CATHLAMET 1,46.1904,-123.332
10022,SHELTON 1 1,47.1504,-123.13
10023,SHELTON 2 1,47.1479,-123.0717
10024,SHELTON 2 2,47.1479,-123.0717
10025,ROCHESTER 1,46.7918,-123.0418
10026,FRIDAY HARBOR 1,48.6268,-123.0375
10027,SEQUIM 1 1,48.0874,-123.158
10028,SEQUIM 1 2,48.0874,-123.158
10029,SEQUIM 2 1,48.0024,-123.0817
10030,OLYMPIA 1 1,47.0228,-123.1324
10031,OLYMPIA 1 2,47.0228,-123.1324
10032,OLYMPIA 2 1,47.0673,-123.1433
10033,LONGVIEW 1 1,46.1277,-123.011
10034,LONGVIEW 2 1,46.1467,-122.9894
10035,LONGVIEW 2 2,46.1467,-122.9894
10036,LONGVIEW 2 3,46.1467,-122.9894
10037,CHEHALIS 1 1,46.66,-122.9629
10038,OLYMPIA 3 1,47.1433,-123.0213
10039,OLYMPIA 3 2,47.1433,-123.0213
10040,OLYMPIA 4 1,47.1717,-122.9228
10041,WINLOCK 1,46.4187,-122.8957
10042,CENTRALIA 1 1,46.7548,-122.8481
10043,BELFAIR 1,47.4535,-122.9264
10044,BELFAIR 2,47.4535,-122.9264
10045,CASTLE ROCK 1 1,46.3394,-122.8091
10046,OLYMPIA 5 1,46.9955,-122.8581
10047,OLYMPIA 5 2,46.9955,-122.8581
10048,OLYMPIA 6 1,46.9904,-122.886
10049,OLYMPIA 6 2,46.9904,-122.886
10050,OLYMPIA 6 3,46.9904,-122.886
10051,EASTSOUND 1,48.5514,-122.9455
10052,EASTSOUND 2,48.5514,-122.9455
10053,OLYMPIA 7 1,47.0745,-122.8519
10054,PORT TOWNSEND 1,48.0143,-122.8913
10055,TENINO 1,46.9218,-122.8071
10056,TENINO 2,46.9218,-122.8071
10057,LACEY 1 1,46.9892,-122.7222
10058,LACEY 1 2,46.9892,-122.7222
10059,LACEY 1 3,46.9892,-122.7222
10060,LACEY 2 1,47.003,-122.7906
10061,OLYMPIA 8 1,47.1839,-122.752
10062,BREMERTON 1 1,47.5276,-122.8087
10063,BREMERTON 1 2,47.5276,-122.8087
10064,BREMERTON 1 3,47.5276,-122.8087
10065,BREMERTON 2 1,47.5296,-122.8782
10066,BREMERTON 2 2,47.5296,-122.8782
10067,BREMERTON 2 3,47.5296,-122.8782
10068,BREMERTON 2 4,47.5296,-122.8782
10069,KELSO 1,46.0854,-122.8403
10070,LAKEBAY 1 1,47.3623,-122.7386
10071,OLYMPIA 9 1,46.8946,-122.7153
10072,OLYMPIA 10 1,47.0142,-122.6934
10073,OLYMPIA 10 2,47.0142,-122.6934
10074,KALAMA 1,46.0192,-122.7669
10075,KALAMA 2,46.0192,-122.7669
10076,GIG HARBOR 1 1,47.3039,-122.7883
10077,VANCOUVER 1 1,45.7379,-122.691
10078,SILVERDALE 1 1,47.7074,-122.6578
10079,SILVERDALE 1 2,47.7074,-122.6578
10080,SILVERDALE 1 3,47.7074,-122.6578
10081,SILVERDALE 1 4,47.7074,-122.6578
10082,SILVERDALE 2 1,47.7601,-122.7149
10083,SILVERDALE 2 2,47.7601,-122.7149
10084,BLAINE 1 1,48.9,-122.7719
10085,BLAINE 1 2,48.9,-122.7719
10086,BLAINE 1 3,48.9,-122.7719
10087,PORT LUDLOW 1,47.9481,-122.6824
10088,PORT ORCHARD 1 1,47.5032,-122.6138
10089,PORT ORCHARD 1 2,47.5032,-122.6138
10090,PORT ORCHARD 2 1,47.4023,-122.6216
10091,RIDGEFIELD 1,45.8363,-122.6865
10092,VANCOUVER 2 1,45.7159,-122.6517
10093,VANCOUVER 3 1,45.6572,-122.7746
10094,STEILACOOM 1,47.3081,-122.6704
10095,STEILACOOM 2,47.3081,-122.6704
10096,STEILACOOM 3,47.3081,-122.6704
10097,WOODLAND 1 1,46.0356,-122.5679
10098,DUPONT 1,47.1074,-122.665
10099,DUPONT 2,47.1074,-122.665
10100,VANCOUVER 4 1,45.5909,-122.6584
10101,VANCOUVER 4 2,45.5909,-122.6584
10102,VANCOUVER 4 3,45.5909,-122.6584
10103,VANCOUVER 5 1,45.6377,-122.6151
10104,VANCOUVER 5 2,45.6377,-122.6151
10105,VANCOUVER 5 3,45.6377,-122.6151
10106,ANACORTES 1 1,48.5919,-122.6924
10107,COUPEVILLE 1,48.1206,-122.5807
10108,COUPEVILLE 2,48.1206,-122.5807
10109,COUPEVILLE 3,48.1206,-122.5807
10110,ONALASKA 1,46.6517,-122.6511
10111,ONALASKA 2,46.6517,-122.6511
10112,RAINIER 1 1,46.8176,-122.6486
10113,BREMERTON 3 1,47.7207,-122.703
10114,BREMERTON 3 2,47.7207,-122.703
10115,BREMERTON 4 1,47.5662,-122.6417
10116,OAK HARBOR 1 1,48.2781,-122.6297
10117,OAK HARBOR 2 1,48.2395,-122.5352
10118,OAK HARBOR 2 2,48.2395,-122.5352
10119,OAK HARBOR 2 3,48.2395,-122.5352
10120,OAK HARBOR 2 4,48.2395,-122.5352
10121,POULSBO 1 1,47.7984,-122.6841
10122,POULSBO 1 2,47.7984,-122.6841
10123,POULSBO 2 1,47.7539,-122.6578
10124,POULSBO 2 2,47.7539,-122.6578
10125,POULSBO 2 3,47.7539,-122.6578
10126,POULSBO 2 4,47.7539,-122.6578
10127,BREMERTON 5 1,47.5231,-122.6219
10128,BREMERTON 5 2,47.5231,-122.6219
10129,VANCOUVER 6 1,45.5753,-122.6273
10130,VANCOUVER 7 1,45.6695,-122.5543
10131,VANCOUVER 8 1,45.638,-122.606
10132,VANCOUVER 8 2,45.638,-122.606
10133,GIG HARBOR 2 1,47.2477,-122.7192
10134,GIG HARBOR 2 2,47.2477,-122.7192
10135,FERNDALE 1 1,48.8946,-122.67
10136,FERNDALE 1 2,48.8946,-122.67
10137,LA CENTER 1,45.8584,-122.6659
10138,GIG HARBOR 3 1,47.4467,-122.6453
10139,TACOMA 1 1,47.1496,-122.5646
10140,PORT ORCHARD 3 1,47.5868,-122.6684
10141,PORT ORCHARD 3 2,47.5868,-122.6684
10142,PORT ORCHARD 4 1,47.6145,-122.6199
10143,PORT ORCHARD 4 2,47.6145,-122.6199
10144,PORT ORCHARD 4 3,47.6145,-122.6199
10145,VANCOUVER 9 1,45.7462,-122.5518
10146,VANCOUVER 10 1,45.6971,-122.584
10147,VANCOUVER 10 2,45.6971,-122.584
10148,VANCOUVER 11 1,45.6566,-122.6399
10149,OLALLA 1,47.498,-122.665
10150,OLALLA 2,47.498,-122.665
10151,OLALLA 3,47.498,-122.665
10152,OLALLA 4,47.498,-122.665
10153,UNIVERSITY PLACE 1,47.1162,-122.5961
10154,LAKEWOOD 1 1,47.1492,-122.575
10155,LAKEWOOD 2 1,47.0621,-122.6066
10156,LAKEWOOD 2 2,47.0621,-122.6066
10157,TACOMA 2 1,47.2402,-122.5297
10158,TACOMA 2 2,47.2402,-122.5297
10159,TACOMA 3 1,47.2904,-122.5599
10160,BAINBRIDGE ISLAND 1,47.6283,-122.4932
10161,KINGSTON 1,47.8029,-122.5365
10162,KINGSTON 2,47.8029,-122.5365
10163,KINGSTON 3,47.8029,-122.5365
10164,ROY 1 1,47.0922,-122.5844
10165,TACOMA 4 1,47.3789,-122.4637
10166,TACOMA 4 2,47.3789,-122.4637
10167,VANCOUVER 12 1,45.5753,-122.6041
10168,VANCOUVER 13 1,45.6205,-122.5396
10169,LAKEWOOD 3 1,47.0746,-122.4859
10170,LAKEWOOD 3 2,47.0746,-122.4859
10171,TACOMA 5 1,47.2812,-122.4187
10172,BATTLE GROUND 1 1,45.763,-122.4243
10173,BATTLE GROUND 1 2,45.763,-122.4243
10174,BATTLE GROUND 1 3,45.763,-122.4243
10175,BATTLE GROUND 2 1,45.8824,-122.5291
10176,BATTLE GROUND 2 2,45.8824,-122.5291
10177,VANCOUVER 14 1,45.575,-122.5665
10178,VANCOUVER 15 1,45.6766,-122.574
10179,BELLINGHAM 1 1,48.8277,-122.5436
10180,BELLINGHAM 2 1,48.7084,-122.6094
10181,BELLINGHAM 2 2,48.7084,-122.6094
10182,BELLINGHAM 2 3,48.7084,-122.6094
10183,LAKEWOOD 4 1,47.241,-122.4134
10184,LAKEWOOD 5 1,47.2147,-122.5774
10185,LAKEWOOD 5 2,47.2147,-122.5774
10186,CAMANO ISLAND 1,48.209,-122.6076
10187,CAMANO ISLAND 2,48.209,-122.6076
10188,YELM 1,46.8447,-122.451
10189,YELM 2,46.8447,-122.451
10190,VANCOUVER 16 1,45.7632,-122.5137
10191,VANCOUVER 16 2,45.7632,-122.5137
10192,VANCOUVER 17 1,45.7218,-122.5664
10193,VANCOUVER 17 2,45.7218,-122.5664
10194,VANCOUVER 17 3,45.7218,-122.5664
10195,VANCOUVER 17 4,45.7218,-122.5664
10196,TACOMA 6 1,47.1245,-122.5568
10197,TACOMA 6 2,47.1245,-122.5568
10198,TACOMA 6 3,47.1245,-122.5568
10199,VASHON 1,47.4255,-122.4801
10200,TACOMA 7 1,47.2126,-122.4406
10201,LYNDEN 1,49.0235,-122.4655
10202,BRUSH PRAIRIE 1,45.6699,-122.3713
10203,LANGLEY 1,48.012,-122.5068
10204,LANGLEY 2,48.012,-122.5068
10205,TACOMA 8 1,47.2028,-122.3545
10206,TACOMA 8 2,47.2028,-122.3545
10207,TACOMA 9 1,47.2014,-122.4906
10208,TACOMA 10 1,47.3067,-122.5178
10209,TACOMA 11 1,47.1904,-122.422
10210,BELLINGHAM 3 1,48.8083,-122.452
10211,BELLINGHAM 4 1,48.759,-122.4358
10212,BELLINGHAM 4 2,48.759,-122.4358
10213,MOSSYROCK 1,46.4722,-122.3709
10214,MOSSYROCK 2,46.4722,-122.3709
10215,BELLINGHAM 5 1,48.6497,-122.474
10216,BELLINGHAM 6 1,48.7025,-122.4788
10217,BELLINGHAM 6 2,48.7025,-122.4788
10218,CLINTON 1 1,47.9174,-122.5463
10219,TACOMA 12 1,47.2202,-122.4954
10220,TACOMA 12 2,47.2202,-122.4954
10221,TACOMA 13 1,47.1365,-122.3305
10222,BOW 1,48.6364,-122.3539
